graph, seq color time, seq pred time, seq total time, seq nscc, omp color time, omp pred time, omp total time, omp nscc, opencilk color time, opencilk pred time, opencilk total time, opencilk nscc, pthreads color time, pthreads pred time, pthreads total time, pthreads nscc
wiki-topcats, 0.416262, 0.179815, 3.412241, 1, 0.119546, 0.063621, 3.104151, 1, 0.999115, 0.000061, 2.999989, 1, 0.232771, 0.101311, 3.195926, 1
wikipedia-20061104, 2.159981, 0.923581, 7.792138, 1040035, 0.711511, 0.375487, 5.661489, 1040035, 0.999627, 0.000412, 5.999653, 1040035, 1.017703, 0.735860, 6.721935, 1040035
eu-2005, 0.866099, 0.075429, 2.704265, 90768, 0.242506, 0.043538, 2.077660, 90768, 0.000158, 0.000020, 1.999888, 90768, 0.511617, 0.039720, 2.282325, 90768
uk-2002, 125.924240, 7.698812, 164.921895, 3887634, 29.148861, 2.766942, 63.359470, 3887634, 27.998762, 2.000488, 60.999906, 3887634, 64.225714, 5.643004, 101.724947, 3887634
wikipedia-20060925, 1.500481, 0.807645, 6.732882, 975731, 0.560477, 0.336856, 5.089576, 975731, 0.999439, 0.000337, 4.999992, 975731, 0.565686, 0.510699, 5.485021, 975731
language, 0.019389, 0.029708, 0.303098, 2456, 0.013351, 0.007168, 0.260229, 2456, 0.000023, 0.000011, 0.999257, 2456, 0.056315, 0.024768, 0.337823, 2456
wikipedia-20070206, 2.209312, 1.004698, 8.484669, 1203340, 0.866193, 0.449690, 6.550064, 1203340, 1.998799, 0.000436, 6.999457, 1203341, 1.017371, 0.698231, 7.149579, 1203340
arabic-2005, 
foldoc, 0.000683, 0.000438, 0.017504, 71, 0.000125, 0.000145, 0.026786, 71, 0.000004, 0.000000, 0.000020, 71, 0.001343, 0.003129, 0.020203, 71
sx-stackoverflow, 1.085134, 0.194579, 6.782875, 953658, 0.409255, 0.102818, 6.155923, 953658, 0.999342, 0.000086, 5.999842, 953658, 0.351311, 0.090141, 5.908645, 953658
indochina-2004, 55.754021, 5.540169, 81.627710, 1749052, 17.761378, 2.103723, 40.301302, 1749052, 14.000390, 3.998249, 37.000214, 1749052, 31.567517, 3.304552, 56.117723, 1749052
wb-edu, 22.570651, 4.877266, 33.829484, 4269022, 4.627881, 1.123428, 12.120833, 4269022, 5.998779, 0.001176, 12.000455, 4269022, 11.909884, 3.169727, 21.777093, 4269022
celegansneural, 0.000034, 0.000012, 0.000545, 57, 0.000027, 0.000021, 0.005227, 57, 0.000001, 0.000000, 0.000001, 57, 0.001551, 0.001625, 0.004067, 57
