graph, omp 6, threads color time, omp 6, threads pred time, omp 6, threads total time, omp 6, threads nscc, opencilk 6, threads color time, opencilk 6, threads pred time, opencilk 6, threads total time, opencilk 6, threads nscc, pthreads 6, threads color time, pthreads 6, threads pred time, pthreads 6, threads total time, pthreads 6, threads nscc, omp 8, threads color time, omp 8, threads pred time, omp 8, threads total time, omp 8, threads nscc, opencilk 8, threads color time, opencilk 8, threads pred time, opencilk 8, threads total time, opencilk 8, threads nscc, pthreads 8, threads color time, pthreads 8, threads pred time, pthreads 8, threads total time, pthreads 8, threads nscc, omp 10, threads color time, omp 10, threads pred time, omp 10, threads total time, omp 10, threads nscc, opencilk 10, threads color time, opencilk 10, threads pred time, opencilk 10, threads total time, opencilk 10, threads nscc, pthreads 10, threads color time, pthreads 10, threads pred time, pthreads 10, threads total time, pthreads 10, threads nscc, omp 12, threads color time, omp 12, threads pred time, omp 12, threads total time, omp 12, threads nscc, opencilk 12, threads color time, opencilk 12, threads pred time, opencilk 12, threads total time, opencilk 12, threads nscc, pthreads 12, threads color time, pthreads 12, threads pred time, pthreads 12, threads total time, pthreads 12, threads nscc, omp 14, threads color time, omp 14, threads pred time, omp 14, threads total time, omp 14, threads nscc, opencilk 14, threads color time, opencilk 14, threads pred time, opencilk 14, threads total time, opencilk 14, threads nscc, pthreads 14, threads color time, pthreads 14, threads pred time, pthreads 14, threads total time, pthreads 14, threads nscc, omp 16, threads color time, omp 16, threads pred time, omp 16, threads total time, omp 16, threads nscc, opencilk 16, threads color time, opencilk 16, threads pred time, opencilk 16, threads total time, opencilk 16, threads nscc, pthreads 16, threads color time, pthreads 16, threads pred time, pthreads 16, threads total time, pthreads 16, threads nscc, omp 18, threads color time, omp 18, threads pred time, omp 18, threads total time, omp 18, threads nscc, opencilk 18, threads color time, opencilk 18, threads pred time, opencilk 18, threads total time, opencilk 18, threads nscc, pthreads 18, threads color time, pthreads 18, threads pred time, pthreads 18, threads total time, pthreads 18, threads nscc, omp 25, threads color time, omp 25, threads pred time, omp 25, threads total time, omp 25, threads nscc, opencilk 25, threads color time, opencilk 25, threads pred time, opencilk 25, threads total time, opencilk 25, threads nscc, pthreads 25, threads color time, pthreads 25, threads pred time, pthreads 25, threads total time, pthreads 25, threads nscc, omp 50 threads color time, omp 50 threads pred time, omp 50 threads total time, omp 50 threads nscc, opencilk 50 threads color time, opencilk 50 threads pred time, opencilk 50 threads total time, opencilk 50 threads nscc, pthreads 50 threads color time, pthreads 50 threads pred time, pthreads 50 threads total time, pthreads 50 threads nscc
wiki-topcats, 0.132232, 0.056122, 3.779076, 1, 0.148938, 0.071764, 3.837213, 1, 0.121327, 0.112700, 3.666366, 10.099763, 0.048967, 2.896737, 1, 0.105999, 0.051414, 2.882015, 1, 0.185073, 0.112975, 3.068933, 10.102261, 0.048386, 2.874767, 1, 0.095257, 0.050437, 2.868813, 1, 0.164354, 0.098787, 3.020029, 10.110374, 0.072140, 2.976526, 1, 0.086587, 0.053343, 2.893085, 1, 0.233920, 0.096712, 3.120822, 10.100834, 0.050715, 2.877044, 1, 0.092210, 0.052232, 2.901349, 1, 0.253027, 0.106627, 3.247470, 10.119021, 0.064462, 3.030185, 1, 0.093906, 0.067125, 2.927252, 1, 0.290023, 0.112235, 3.235140, 10.099541, 0.049711, 2.897754, 1, 0.097654, 0.066678, 2.942820, 1, 0.258759, 0.131648, 3.173451, 10.094720, 0.055934, 2.979681, 1, 0.105944, 0.061938, 2.969823, 1, 0.314732, 0.150367, 3.272020, 10.099777, 0.052453, 3.154704, 1, 0.188564, 0.145642, 3.198958, 1, 0.454917, 0.141145, 3.393548, 1
wikipedia-20061104, 0.769632, 0.384712, 5.762945, 1040035, 0.625896, 0.463174, 5.696349, 1040035, 0.656181, 0.599845, 5.899336, 10400350.833474, 0.402785, 5.892342, 1040035, 0.822793, 0.479068, 6.087553, 1040035, 0.945972, 0.577654, 6.169723, 10400350.764443, 0.442365, 5.846821, 1040035, 0.722694, 0.537003, 6.184516, 1040035, 1.191957, 0.633027, 6.853705, 10400350.699288, 0.377890, 5.624011, 1040035, 0.725149, 0.566173, 6.086789, 1040035, 1.211974, 0.680307, 6.859210, 10400350.730591, 0.426054, 5.720461, 1040035, 0.729666, 0.512309, 6.021002, 1040035, 1.310589, 0.832387, 7.232107, 10400350.776876, 0.435199, 5.936584, 1040035, 0.841639, 0.596478, 6.313005, 1040035, 1.814293, 1.708136, 9.932116, 10400350.968027, 0.539845, 6.851494, 1040035, 0.907631, 0.646960, 6.575483, 1040035, 2.000123, 0.978614, 8.723044, 10400350.841209, 0.521904, 6.118130, 1040035, 1.000263, 0.606388, 6.815525, 1040035, 2.223995, 1.257958, 9.644464, 10400350.889415, 0.489066, 6.081620, 1040035, 1.730590, 1.089539, 8.759718, 1040035, 4.258609, 1.290193, 12.341621, 1040035
eu-2005, 0.181267, 0.017023, 2.000479, 90768, 0.196080, 0.023013, 1.987191, 90768, 0.643917, 0.044411, 2.402855, 907680.212631, 0.018690, 1.975968, 90768, 0.165465, 0.022365, 1.895715, 90768, 0.457408, 0.044480, 2.211557, 907680.177910, 0.017856, 1.889607, 90768, 0.165991, 0.030273, 1.916481, 90768, 0.441255, 0.043132, 2.194090, 907680.153955, 0.017564, 1.889091, 90768, 0.151540, 0.023727, 1.892491, 90768, 0.689082, 0.053012, 2.452709, 907680.218836, 0.024832, 1.961994, 90768, 0.211238, 0.031419, 1.988569, 90768, 0.993594, 0.052804, 2.784081, 907680.183565, 0.019064, 1.930159, 90768, 0.198108, 0.027427, 2.041726, 90768, 0.861597, 0.049535, 2.625395, 907680.183602, 0.021165, 1.909108, 90768, 0.208728, 0.031891, 2.017697, 90768, 0.756299, 0.051351, 2.521475, 907680.204114, 0.021766, 1.964321, 90768, 0.358480, 0.065741, 2.202846, 90768, 1.222816, 0.071749, 3.137822, 907680.252011, 0.040740, 2.064810, 90768, 0.524794, 0.104077, 2.456281, 90768, 1.623842, 0.104682, 3.559853, 90768
uk-2002, 31.900914, 2.433822, 66.329541, 3887634, 31.233674, 2.611908, 65.967197, 3887634, 53.616351, 4.730144, 90.250076, 388763433.313029, 2.350672, 67.221968, 3887634, 30.246874, 2.789183, 65.060831, 3887634, 36.521263, 4.964244, 73.874967, 388763429.100741, 2.392060, 62.769528, 3887634, 25.002846, 2.687135, 59.461323, 3887634, 41.242865, 4.423622, 77.384243, 388763428.088206, 2.331639, 61.614852, 3887634, 26.157395, 3.029506, 60.772425, 3887634, 49.679378, 5.713712, 87.812447, 388763428.392168, 2.741888, 62.642027, 3887634, 26.497381, 3.124521, 61.177132, 3887634, 73.672931, 8.864831, 117.590807, 388763427.619148, 2.645207, 61.514315, 3887634, 26.347467, 3.187651, 61.349949, 3887634, 71.096594, 8.122449, 117.964430, 388763427.311982, 2.602626, 61.152257, 3887634, 26.764018, 3.183517, 61.853322, 3887634, 72.025606, 8.461200, 121.366606, 388763427.325603, 2.713773, 61.728638, 3887634, 28.211584, 3.781054, 64.038220, 3887634, 90.362925, 11.889650, 149.308733, 388763426.781508, 2.598170, 60.709656, 3887634, 34.393843, 6.222406, 73.590077, 3887634, 115.984911, 16.337828, 181.117037, 3887634
wikipedia-20060925, 0.606686, 0.351315, 5.215100, 975731, 0.512562, 0.396738, 5.083558, 975731, 0.460367, 0.474827, 5.235950, 9757310.646002, 0.349033, 5.193786, 975731, 0.508888, 0.396548, 5.102246, 975731, 0.696942, 0.523486, 5.518529, 9757310.596447, 0.336972, 5.041756, 975731, 0.497419, 0.391014, 5.113891, 975731, 0.848816, 0.475985, 5.711534, 9757310.553077, 0.336444, 5.062407, 975731, 0.448790, 0.399806, 5.034139, 975731, 0.638658, 0.490834, 5.504874, 9757310.501416, 0.368722, 5.044097, 975731, 0.498336, 0.414666, 5.122231, 975731, 0.877725, 0.681141, 6.277606, 9757310.517906, 0.362138, 5.092751, 975731, 0.476623, 0.422753, 5.091207, 975731, 0.913926, 0.707030, 6.435318, 9757310.558886, 0.364414, 5.146054, 975731, 0.484967, 0.428756, 5.160483, 975731, 0.996108, 0.751446, 6.557839, 9757310.495612, 0.359958, 5.074031, 975731, 0.702102, 0.442201, 5.492101, 975731, 1.521167, 0.742497, 7.365986, 9757310.488301, 0.363794, 5.068011, 975731, 0.993546, 0.535613, 6.296561, 975731, 3.392413, 0.757265, 9.499387, 975731
language, 0.015533, 0.007116, 0.259896, 2456, 0.027851, 0.013289, 0.282242, 2456, 0.044598, 0.023146, 0.319090, 24560.017681, 0.009218, 0.277955, 2456, 0.024978, 0.012623, 0.275768, 2456, 0.053213, 0.021929, 0.336530, 24560.014673, 0.008034, 0.264834, 2456, 0.021547, 0.011804, 0.286626, 2456, 0.046824, 0.025643, 0.314511, 24560.012466, 0.007097, 0.257379, 2456, 0.023995, 0.014143, 0.275345, 2456, 0.046460, 0.023818, 0.323618, 24560.018899, 0.009213, 0.277944, 2456, 0.025103, 0.013050, 0.276037, 2456, 0.061758, 0.027413, 0.348744, 24560.017784, 0.009655, 0.271550, 2456, 0.023972, 0.012641, 0.289089, 2456, 0.066805, 0.028267, 0.333308, 24560.016909, 0.009599, 0.277932, 2456, 0.030253, 0.022105, 0.319181, 2456, 0.054017, 0.032842, 0.334995, 24560.020460, 0.009925, 0.270591, 2456, 0.040234, 0.015744, 0.323804, 2456, 0.054848, 0.037762, 0.330127, 24560.023004, 0.012227, 0.277128, 2456, 0.077978, 0.034352, 0.438410, 2456, 0.072247, 0.065675, 0.398378, 2456
wikipedia-20070206, 0.919299, 0.423214, 6.559816, 1203340, 0.790329, 0.506374, 6.519090, 1203340, 0.870369, 0.732573, 6.899499, 12033400.964948, 0.442561, 6.512219, 1203340, 0.779117, 0.509208, 6.501662, 1203340, 1.208645, 0.706903, 7.293069, 12033400.906430, 0.446619, 6.526635, 1203340, 0.712710, 0.504382, 6.384490, 1203340, 1.154171, 0.644096, 7.094615, 12033400.851993, 0.444869, 6.485804, 1203340, 0.820871, 0.517291, 6.536201, 1203340, 1.069332, 0.681146, 7.127486, 12033400.848107, 0.477402, 6.490499, 1203340, 0.859170, 0.523852, 6.559668, 1203340, 1.373838, 0.972621, 8.125853, 12033400.911678, 0.475283, 6.576767, 1203340, 0.799582, 0.526516, 6.567062, 1203340, 1.529997, 1.131012, 8.560178, 12033400.750310, 0.474511, 6.381304, 1203340, 0.872003, 0.539907, 6.637118, 1203340, 1.450449, 1.110684, 8.325860, 12033400.801904, 0.469854, 6.470863, 1203340, 0.928066, 0.589399, 6.869901, 1203340, 2.406780, 1.218036, 9.899725, 12033400.832786, 0.468865, 6.499302, 1203340, 1.307294, 0.684247, 7.887470, 1203340, 3.890211, 1.157507, 11.850595, 1203340
foldoc, 0.000196, 0.000161, 0.024111, 71, 0.000282, 0.000340, 0.016957, 71, 0.000958, 0.001807, 0.019598, 710.000147, 0.000160, 0.016644, 71, 0.000339, 0.000353, 0.017717, 71, 0.000904, 0.002015, 0.018032, 710.000154, 0.000151, 0.017753, 71, 0.000239, 0.000391, 0.018367, 71, 0.001032, 0.002594, 0.021077, 710.000134, 0.000140, 0.015866, 71, 0.000318, 0.000393, 0.017600, 71, 0.001211, 0.003115, 0.019809, 710.000381, 0.000612, 0.017551, 71, 0.001867, 0.000363, 0.019382, 71, 0.001326, 0.003681, 0.020413, 710.000441, 0.001080, 0.017799, 71, 0.000304, 0.000422, 0.019937, 71, 0.001601, 0.004370, 0.022961, 710.000431, 0.000740, 0.017545, 71, 0.000302, 0.000386, 0.018671, 71, 0.001710, 0.004723, 0.023928, 710.001419, 0.001253, 0.020407, 71, 0.000277, 0.000349, 0.020413, 71, 0.002340, 0.006474, 0.026804, 710.000744, 0.001646, 0.019369, 71, 0.011413, 0.016386, 0.055217, 71, 0.004598, 0.013138, 0.036175, 71
sx-stackoverflow, 0.486628, 0.104974, 6.139358, 953658, 0.394546, 0.097283, 6.044533, 953658, 0.329887, 0.097785, 5.844148, 9536580.527197, 0.101270, 6.093118, 953658, 0.354560, 0.093370, 5.995702, 953658, 0.437228, 0.106933, 6.007888, 9536580.427671, 0.100172, 5.973808, 953658, 0.338444, 0.091839, 5.955162, 953658, 0.574275, 0.100932, 6.130024, 9536580.402506, 0.097096, 5.939832, 953658, 0.352741, 0.092191, 5.983670, 953658, 0.486945, 0.089873, 6.013586, 9536580.386642, 0.092875, 5.913095, 953658, 0.318773, 0.091410, 5.951540, 953658, 0.602110, 0.114313, 6.173113, 9536580.368887, 0.091452, 6.105736, 953658, 0.355194, 0.094698, 5.988698, 953658, 0.689068, 0.121263, 6.278230, 9536580.379310, 0.093165, 6.151031, 953658, 0.342706, 0.093939, 5.984226, 953658, 0.593927, 0.124939, 6.188723, 9536580.432703, 0.092193, 5.960847, 953658, 0.402291, 0.117172, 6.145056, 953658, 0.911329, 0.133414, 6.527687, 9536580.337889, 0.088456, 5.858672, 953658, 0.513616, 0.142463, 6.318174, 953658, 2.095583, 0.139788, 7.665048, 953658
indochina-2004, 16.700103, 1.933469, 38.848764, 1749052, 14.352183, 2.513153, 37.675539, 1749052, 34.161383, 3.133421, 58.088783, 174905217.005493, 2.063472, 39.194085, 1749052, 15.285729, 2.538281, 38.343460, 1749052, 27.711519, 3.038319, 52.337480, 174905216.728508, 2.084106, 38.972682, 1749052, 13.588406, 2.487675, 36.640983, 1749052, 27.460060, 2.903307, 52.100767, 174905217.517847, 2.091519, 39.934504, 1749052, 14.204271, 2.540452, 37.209362, 1749052, 40.388330, 3.341276, 64.874333, 174905217.278471, 2.482524, 40.188579, 1749052, 14.700564, 2.718688, 38.400880, 1749052, 46.871307, 4.895812, 75.972370, 174905217.023404, 2.325782, 39.817850, 1749052, 14.870433, 2.680088, 38.563858, 1749052, 44.847079, 5.286694, 76.359597, 174905216.788262, 2.284330, 39.583293, 1749052, 14.942780, 2.705314, 38.762496, 1749052, 42.467532, 5.633185, 74.877527, 174905218.998727, 2.445234, 42.399875, 1749052, 17.120566, 3.060198, 42.346192, 1749052, 46.925808, 6.810445, 84.954466, 174905219.527577, 2.611989, 43.864655, 1749052, 30.072828, 7.352511, 62.267118, 1749052, 83.386594, 10.557756, 136.447174, 1749052
