graph, seq color time, seq pred time, seq total time, seq nscc, omp color time, omp pred time, omp total time, omp nscc, opencilk color time, opencilk pred time, opencilk total time, opencilk nscc, pthreads color time, pthreads pred time, pthreads total time, pthreads nscc
wiki-topcats, 0.450006, 0.186423, 3.400524, 1, 0.119095, 0.058240, 2.981456, 1, 0.000108, 0.000049, 2.999938, 1, 0.135011, 0.092580, 2.997030, 1
wikipedia-20061104, 1.914763, 0.884363, 7.403768, 1040035, 0.691738, 0.379278, 5.599298, 1040035, 0.999624, 0.999380, 5.999538, 1040035, 0.821122, 0.557896, 6.179855, 1040035
eu-2005, 0.761691, 0.068704, 2.580366, 90768, 0.169279, 0.022010, 1.904970, 90768, 0.000173, 0.000018, 1.999918, 90768, 0.558872, 0.041568, 2.310537, 90768
wikipedia-20060925, 1.550389, 0.863422, 7.664974, 975731, 0.583911, 0.370381, 5.289685, 975731, 0.999450, 0.000338, 5.000025, 975731, 0.645515, 0.560519, 5.684447, 975731
language, 0.019833, 0.030262, 0.284889, 2456, 0.012455, 0.007276, 0.263062, 2456, 0.000023, 0.000012, 0.000269, 2456, 0.060665, 0.025333, 0.325907, 2456
wikipedia-20070206, 2.310200, 1.023220, 8.649856, 1203340, 0.911900, 0.454176, 6.724511, 1203340, 0.999709, 0.000449, 6.000450, 1203340, 0.983522, 0.715934, 7.229459, 1203340
foldoc, 0.000689, 0.000443, 0.016794, 71, 0.000134, 0.000167, 0.015313, 71, 0.000012, 0.000000, 0.000028, 71, 0.001273, 0.003073, 0.022003, 71
sx-stackoverflow, 1.115092, 0.202232, 6.842510, 953658, 0.416019, 0.102608, 6.059359, 953658, 0.000365, 0.000086, 5.999849, 953658, 0.318323, 0.107087, 5.907604, 953658
indochina-2004, 56.279986, 5.585012, 82.511240, 1749052, 18.114587, 2.270286, 41.085303, 1749052, 14.999525, 2.000253, 37.999822, 1749054, 32.715155, 3.455272, 58.045894, 1749052
wb-edu, 22.871463, 4.898159, 34.141378, 4269022, 4.853965, 1.204345, 12.465739, 4269022, 3.001834, 1.999215, 12.999620, 4269022, 11.400185, 2.954191, 21.189760, 4269022
celegansneural, 0.000034, 0.000012, 0.000592, 57, 0.000022, 0.000021, 0.000513, 57, 0.000001, 0.000000, 0.000001, 57, 0.001527, 0.001605, 0.004004, 57
