graph, opencilk color time, opencilk pred time, opencilk total time, opencilk nscc
wiki-topcats, 0.096737, 0.052450, 3.136932, 1, 
wikipedia-20061104, 0.637444, 0.442897, 5.688014, 1040035, 
eu-2005, 0.155303, 0.023950, 2.039631, 90768, 
uk-2002, 26.064933, 2.807190, 60.484474, 3887634, 
wikipedia-20060925, 0.511918, 0.436099, 5.422823, 975731, 
language, 0.026442, 0.013974, 0.284227, 2456, 
wikipedia-20070206, 0.768753, 0.522341, 6.759391, 1203340, 
foldoc, 0.000430, 0.000443, 0.030604, 71, 
sx-stackoverflow, 0.367218, 0.093031, 6.067198, 953658, 
indochina-2004, 16.765116, 3.033263, 41.553129, 1749052, 
wb-edu, 4.914629, 1.396653, 12.998535, 4269022, 
celegansneural, 0.000661, 0.000056, 0.001492, 57, 
