graph,omp 6 tot,cilk tot 6,pthreads 6 tot, omp 8, ocilk 8, pthreads 8, omp 10, ocilk 10, pthreads 10, omp 12, ocilk 12, pthreads 12, omp 14, ocilk 14, pthreads 14, omp 16, ocilk 16,pthreads 16, omp 18, ocilk 18, pthreads 18, omp 25, ocilk 25, pthreads 25, omp 50, ocilk 50, pthreads 50
wiki-topcats,3.779076,3.837213,3.666366,2.896737,2.882015,3.068933,2.874767,2.868813,3.020029,2.976526,2.893085,3.120822,2.877044,2.901349,3.24747,3.030185,2.927252,3.23514,2.897754,2.94282,3.173451,2.979681,2.969823,3.27202,3.154704,3.198958,3.393548
wikipedia-20061104,5.762945,5.696349,5.899336,5.892342,6.087553,6.169723,5.846821,6.184516,6.853705,5.624011,6.086789,6.85921,5.720461,6.021002,7.232107,5.936584,6.313005,9.932116,6.851494,6.575483,8.723044,6.11813,6.815525,9.644464,6.08162,8.759718,12.341621
eu-2005,2.000479,1.987191,2.402855,1.975968,1.895715,2.211557,1.889607,1.916481,2.19409,1.889091,1.892491,2.452709,1.961994,1.988569,2.784081,1.930159,2.041726,2.625395,1.909108,2.017697,2.521475,1.964321,2.202846,3.137822,2.06481,2.456281,3.559853
uk-2002,66.329541,65.967197,90.250076,67.221968,65.060831,73.874967,62.769528,59.461323,77.384243,61.614852,60.772425,87.812447,62.642027,61.177132,117.590807,61.514315,61.349949,117.96443,61.152257,61.853322,121.366606,61.728638,64.03822,149.308733,60.709656,73.590077,181.117037
wikipedia-20060925,5.2151,5.083558,5.23595,5.193786,5.102246,5.518529,5.041756,5.113891,5.711534,5.062407,5.034139,5.504874,5.044097,5.122231,6.277606,5.092751,5.091207,6.435318,5.146054,5.160483,6.557839,5.074031,5.492101,7.365986,5.068011,6.296561,9.499387
language,0.259896,0.282242,0.31909,0.277955,0.275768,0.33653,0.264834,0.286626,0.314511,0.257379,0.275345,0.323618,0.277944,0.276037,0.348744,0.27155,0.289089,0.333308,0.277932,0.319181,0.334995,0.270591,0.323804,0.330127,0.277128,0.43841,0.398378
wikipedia-20070206,6.559816,6.51909,6.899499,6.512219,6.501662,7.293069,6.526635,6.38449,7.094615,6.485804,6.536201,7.127486,6.490499,6.559668,8.125853,6.576767,6.567062,8.560178,6.381304,6.637118,8.32586,6.470863,6.869901,9.899725,6.499302,7.88747,11.850595
foldoc,0.024111,0.016957,0.019598,0.016644,0.017717,0.018032,0.017753,0.018367,0.021077,0.015866,0.0176,0.019809,0.017551,0.019382,0.020413,0.017799,0.019937,0.022961,0.017545,0.018671,0.023928,0.020407,0.020413,0.026804,0.019369,0.055217,0.036175
sx-stackoverflow,6.139358,6.044533,5.844148,6.093118,5.995702,6.007888,5.973808,5.955162,6.130024,5.939832,5.98367,6.013586,5.913095,5.95154,6.173113,6.105736,5.988698,6.27823,6.151031,5.984226,6.188723,5.960847,6.145056,6.527687,5.858672,6.318174,7.665048
indochina-2004,38.848764,37.675539,58.088783,39.194085,38.34346,52.33748,38.972682,36.640983,52.100767,39.934504,37.209362,64.874333,40.188579,38.40088,75.97237,39.81785,38.563858,76.359597,39.583293,38.762496,74.877527,42.399875,42.346192,84.954466,43.864655,62.267118,136.447174
wb-edu,13.653945,14.2499,22.333373,13.599381,13.859551,20.443604,13.58405,13.830468,22.934293,14.24035,13.834502,25.690998,14.244241,14.719895,35.299005,13.98447,14.972823,33.409313,13.779072,15.285282,36.217995,13.857441,17.293408,50.655793,13.909799,23.632893,57.323062
celegansneural,0.000642,0.000692,0.002602,0.000522,0.000818,0.002417,0.000569,0.001015,0.002942,0.000581,0.00105,0.004455,0.001394,0.001166,0.005728,0.001329,0.002746,0.004377,0.014282,0.004934,0.005782,0.00653,0.017862,0.007544,0.003951,0.049941,0.013559
